FechaHora,Fecha,Hora,Punto,Foto,Individuos,Clase,Especie,Observaciones,
21/04/2023 19:00:00,21/04/2023,19:00:00,QC05_2,IMG_0087,2,,Btau,,
22/04/2023 6:42:00,22/04/2023,06:42:00,QC05_2,IMG_0098,1,,Btau,,
22/04/2023 7:25:00,22/04/2023,07:25:00,QC05_2,IMG_0127,1,,Ecab,,
22/04/2023 8:29:00,22/04/2023,08:29:00,QC05_2,IMG_0140,2,,Ecab,,
23/04/2023 7:20:00,23/04/2023,07:20:00,QC05_2,IMG_0149,1,,Btau,,
28/04/2023 9:48:00,28/04/2023,09:48:00,QC05_2,IMG_0158,1,,Pers_caballo,,
28/04/2023 13:19:00,28/04/2023,13:19:00,QC05_2,IMG_0161,2,,Btau,,
29/04/2023 8:19:00,29/04/2023,08:19:00,QC05_2,IMG_0173,2,,Btau,,
29/04/2023 14:35:00,29/04/2023,14:35:00,QC05_2,IMG_0192,1,,Btau,,
29/04/2023 22:52:00,29/04/2023,22:52:00,QC05_2,IMG_0194,1,,Btau,,
30/04/2023 6:46:00,30/04/2023,06:46:00,QC05_2,IMG_0200,1,,Btau,,
30/04/2023 6:49:00,30/04/2023,06:49:00,QC05_2,IMG_0208,1,,Btau,,
2/05/2023 18:30:00,02/05/2023,18:30:00,QC05_2,IMG_0209,1,,Mgou,,
3/05/2023 9:12:00,03/05/2023,09:12:00,QC05_2,IMG_0212,3,,Cfam,Pers_caballo,Pers_trabajando
4/05/2023 13:02:00,04/05/2023,13:02:00,QC05_2,IMG_0218,1,,Btau,,
4/05/2023 14:01:00,04/05/2023,14:01:00,QC05_2,IMG_0221,1,,Btau,,
10/05/2023 1:56:00,10/05/2023,01:56:00,QC05_2,IMG_0224,2,,Ecab,,
10/05/2023 14:53:00,10/05/2023,14:53:00,QC05_2,IMG_0267,2,,Ecab,,
11/05/2023 7:52:00,11/05/2023,07:52:00,QC05_2,IMG_0312,3,,Ecab,,
13/05/2023 7:35:00,13/05/2023,07:35:00,QC05_2,IMG_0332,1,,Btau,,
14/05/2023 10:27:00,14/05/2023,10:27:00,QC05_2,IMG_0341,2,,Pers_caballo,,
18/05/2023 7:09:00,18/05/2023,07:09:00,QC05_2,IMG_0345,1,,Btau,,
19/05/2023 16:13:00,19/05/2023,16:13:00,QC05_2,IMG_0352,1,,Oori,,
